                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1637,                 3.9059,                 4.3997,                  0.003,                   0.88,                0.01058,                0.00286,                 2.8887,                 4.0088,                 4.1583,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.1965,                 3.9157,                  4.442,                0.00291,                   0.84,                0.01962,                 0.0048,                 2.8882,                 4.0076,                 4.1574,             0.00013861,             0.00013861,             0.00013861
                      3,                 2.8876,                  3.608,                 4.2899,                0.00279,                   0.82,                0.01833,                0.00436,                 2.8869,                 4.0023,                 4.1559,             0.00021564,             0.00021564,             0.00021564
                      4,                 3.0523,                 3.6163,                  4.248,                0.00291,                   0.84,                 0.0136,                0.00335,                 2.8833,                  3.998,                 4.1541,             0.00029109,             0.00029109,             0.00029109
                      5,                 3.3049,                 3.6456,                 4.2107,                0.00306,                   0.88,                0.01031,                0.00286,                 2.8815,                 3.9929,                 4.1525,             0.00036495,             0.00036495,             0.00036495
                      6,                 3.1429,                 3.5834,                 4.1805,                0.00305,                   0.88,                0.01109,                0.00309,                 2.8784,                  3.985,                   4.15,             0.00043723,             0.00043723,             0.00043723
                      7,                 3.1826,                 3.5253,                 4.1866,                0.00296,                   0.86,                0.01661,                0.00398,                 2.8718,                 3.9752,                 4.1462,             0.00050792,             0.00050792,             0.00050792
                      8,                 2.9674,                 3.3705,                 4.0741,                0.00288,                   0.84,                0.01089,                 0.0027,                 2.8614,                 3.9627,                 4.1415,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.1313,                  3.458,                 4.1139,                0.00277,                   0.82,                0.00676,                0.00198,                  2.849,                 3.9347,                 4.1373,             0.00064456,             0.00064456,             0.00064456
                     10,                 2.8851,                 3.3031,                 3.9124,                0.00275,                   0.82,                0.00683,                0.00191,                 2.8632,                  3.904,                 4.1487,              0.0007105,              0.0007105,              0.0007105
                     11,                 2.8297,                 3.3102,                 3.8785,                0.00268,                    0.8,                0.00699,                0.00197,                 2.9284,                 3.8983,                 4.2019,             0.00077486,             0.00077486,             0.00077486
                     12,                 2.6014,                 3.1203,                 3.7719,                0.00275,                   0.82,                0.00684,                0.00197,                 2.9889,                 3.8893,                 4.2514,             0.00083763,             0.00083763,             0.00083763
                     13,                 2.9289,                 3.1515,                 3.8109,                0.00277,                   0.82,                0.00736,                0.00204,                 3.0194,                 3.8515,                 4.2841,             0.00089882,             0.00089882,             0.00089882
                     14,                 2.8208,                 3.1452,                 3.7063,                0.00277,                   0.82,                0.00886,                 0.0024,                 3.0138,                 3.8069,                  4.303,             0.00095843,             0.00095843,             0.00095843
                     15,                  2.697,                 3.1413,                 3.6362,                0.00277,                   0.82,                0.00992,                0.00257,                 2.9944,                 3.7538,                 4.3276,              0.0010165,              0.0010165,              0.0010165
                     16,                 2.7617,                 3.1086,                 3.5919,                 0.0027,                    0.8,                0.01019,                0.00259,                 3.0059,                 3.7518,                  4.348,              0.0010729,              0.0010729,              0.0010729
                     17,                 2.6162,                  2.914,                 3.4315,                0.00284,                   0.84,                0.00929,                0.00244,                 3.0911,                 3.8125,                 4.3821,              0.0011277,              0.0011277,              0.0011277
                     18,                 2.8811,                  2.942,                 3.5155,                0.00292,                   0.86,                0.00947,                0.00242,                 3.1501,                 3.8307,                 4.4051,               0.001181,               0.001181,               0.001181
                     19,                 2.8548,                 2.8712,                  3.412,                0.00304,                   0.88,                0.01302,                0.00317,                 3.2002,                 3.8126,                 4.4502,              0.0012327,              0.0012327,              0.0012327
                     20,                 2.5561,                 2.8473,                 3.3181,                0.00303,                   0.86,                0.01361,                0.00331,                 3.2395,                 3.8172,                 4.4902,              0.0012828,              0.0012828,              0.0012828
                     21,                 2.6444,                 2.6988,                 3.3242,                0.00296,                   0.84,                0.01124,                0.00288,                 3.3522,                 3.8769,                 4.5639,              0.0013313,              0.0013313,              0.0013313
                     22,                 2.6182,                 2.8334,                 3.2693,                0.00296,                   0.84,                0.01139,                0.00277,                 3.3853,                 3.8877,                 4.5901,              0.0013783,              0.0013783,              0.0013783
                     23,                 2.8651,                 2.7495,                 3.4782,                0.00303,                   0.86,                0.01144,                0.00272,                 3.4031,                 3.8882,                 4.6131,              0.0014236,              0.0014236,              0.0014236
                     24,                 2.7848,                 2.6648,                 3.3521,                0.00303,                   0.86,                0.01351,                0.00306,                 3.3805,                 3.8978,                 4.6241,              0.0014674,              0.0014674,              0.0014674
                     25,                 2.7658,                 2.6192,                 3.3446,                0.00318,                   0.84,                0.01443,                0.00353,                 3.3431,                 3.8949,                 4.6307,              0.0015096,              0.0015096,              0.0015096
                     26,                 2.6395,                 2.5547,                 3.3261,                0.00617,                   0.66,                0.01528,                0.00335,                 3.2899,                 3.8859,                 4.6158,               0.001505,               0.001505,               0.001505
                     27,                 2.6351,                 2.6641,                 3.2737,                 0.0062,                   0.66,                0.01436,                 0.0035,                 3.2528,                 3.8926,                 4.5903,               0.001505,               0.001505,               0.001505
                     28,                 2.5675,                 2.4294,                 3.2517,                0.00628,                   0.72,                0.01399,                0.00331,                  3.172,                 3.8549,                 4.5333,              0.0014852,              0.0014852,              0.0014852
